crop,crop_family
Patates,solanaceae
Silajlık Mısır,poaceae
Yonca (Yeşilot),fabaceae
Buğday (Dane),poaceae
Arpa (Dane),poaceae
Şeker Pancarı,amaranthaceae
Çavdar (Dane),poaceae
Salçalık Domates,solanaceae
Sofralık Domates,solanaceae
Lahana (Beyaz),brassicaceae
Kabak (Çerezlik),cucurbitaceae
Fasulye (Taze),fabaceae
Soğan (Kuru),amaryllidaceae
Kavun,cucurbitaceae
Salçalık Biber,solanaceae
Ispanak,amaranthaceae
Karpuz,cucurbitaceae
Marul,asteraceae
Hıyar (Sofralık),cucurbitaceae
Hıyar (Turşuluk),cucurbitaceae
Kabak (Sakız),cucurbitaceae
Kabak (Bal),cucurbitaceae
Bamya,malvaceae
Barbunya Fasulye (Taze),fabaceae
Bezelye (Taze),fabaceae
Sivri Biber,solanaceae
Soğan (Taze),amaryllidaceae
Sarımsak (Kuru),amaryllidaceae
Sarımsak (Taze),amaryllidaceae
Turp (Kırmızı),brassicaceae
Maydanoz,apiaceae
Patlıcan,solanaceae
Pırasa,amaryllidaceae
